system,genre,feature,pearson_r,p_value
suno,metal,tempo,0.12495718908021607,0.21544798808379667
suno,metal,harmonic_ratio,-0.25736611929552417,0.009737777618922243
suno,metal,onset_density,-0.09907289353689058,0.3267464603118352
suno,metal,self_similarity_mean,-0.10447826499713128,0.30091113350640414
suno,afrobeats,tempo,0.1600503510972321,0.11168757656483083
suno,afrobeats,harmonic_ratio,-0.059874379099509434,0.5540197750440234
suno,afrobeats,onset_density,0.016492994238340615,0.8706228185666333
suno,afrobeats,self_similarity_mean,0.04820213748133265,0.6339047209986816
suno,dancepop,tempo,0.2395990315628906,0.015811816754933716
suno,dancepop,harmonic_ratio,0.18383398451960006,0.06573463712315249
suno,dancepop,onset_density,0.07270484897923898,0.4699645162300685
suno,dancepop,self_similarity_mean,0.1150414658934479,0.2519733121556712
suno,kpop,tempo,0.06190060824862779,0.5385942294358417
suno,kpop,harmonic_ratio,0.09717961426411065,0.3336554589693829
suno,kpop,onset_density,0.12666855830512716,0.2068591957858319
suno,kpop,self_similarity_mean,-0.05386809321827718,0.5926375582972708
lyria,metal,tempo,0.4857240647612173,3.0152223516085444e-07
lyria,metal,harmonic_ratio,0.17207589527544498,0.08691156893614163
lyria,metal,onset_density,0.3509289798074692,0.00034396147438322134
lyria,metal,self_similarity_mean,0.08989311449937672,0.3737710413932229
lyria,afrobeats,tempo,0.3086232084459737,0.0017837116042581603
lyria,afrobeats,harmonic_ratio,0.14850926480804644,0.14031696979014677
lyria,afrobeats,onset_density,0.44620992868862286,3.2727662256222245e-06
lyria,afrobeats,self_similarity_mean,0.08431649068405928,0.40425233664075194
lyria,dancepop,tempo,0.3042831010730184,0.0019771066129487505
lyria,dancepop,harmonic_ratio,0.15197663677426676,0.12922568271746837
lyria,dancepop,onset_density,0.3452143908655493,0.00040697554342105654
lyria,dancepop,self_similarity_mean,0.22690105839748045,0.022501684330000615
lyria,kpop,tempo,0.5716441050008365,4.2787148156703904e-10
lyria,kpop,harmonic_ratio,0.21373601101626877,0.03186105396527036
lyria,kpop,onset_density,0.12139599303046379,0.22654489860323587
lyria,kpop,self_similarity_mean,0.2420021650762397,0.014761556750113066
